"w","e"
3.2885,0.368405047894177
3.29575,0.365394826670712
3.303,0.362397820163488
3.31025,0.3594139415452
3.3175,0.356443104747551
3.32475,0.353485224452966
3.332,0.350540216086435
3.33925,0.347607995807442
3.3465,0.344688480502017
3.35375,0.341781587774879
3.361,0.338887235941684
3.36825,0.336005344021376
3.3755,0.333135831728633
3.38275,0.33027861946641
3.39,0.327433628318584
3.39725,0.324600780042682
3.4045,0.321779997062711
3.41175,0.31897120246208
3.419,0.316174319976601
3.42625,0.313389273987596
3.4335,0.310615989515072
3.44075,0.307854392211
3.448,0.305104408352668
3.45525,0.302365964836119
3.4625,0.299638989169675
3.46975,0.296923409467541
3.477,0.294219154443486
3.48425,0.291526153404607
3.4915,0.288844336245167
3.49875,0.286173633440514
3.506,0.283513976041073
3.51325,0.280865295666406
3.5205,0.278227524499361
3.52775,0.275600595280278
3.535,0.272984441301273
3.54225,0.270378996400593
3.5495,0.267784194957036
3.55675,0.265199971884445
3.564,0.262626262626263
3.57125,0.260063003150157
3.5785,0.257510129942713
3.58575,0.254967580004183
3.593,0.252435290843307
3.60025,0.249913200472189
3.6075,0.247401247401247
3.61475,0.244899370634207
3.622,0.24240750966317
3.62925,0.239925604463732
3.6365,0.237453595490169
3.64375,0.234991423670669
3.651,0.23253903040263
3.65825,0.230096357548008
3.6655,0.227663347428728
3.67275,0.225239942822136
3.68,0.222826086956522
3.68725,0.220421723506678
3.6945,0.218026796589525
3.70175,0.215641250759776
3.709,0.213265031005662
3.71625,0.210898082744702
3.7235,0.208540351819525
3.73075,0.206191784493734
3.738,0.203852327447833
3.74525,0.201521927775182
3.7525,0.199200532978015
3.75975,0.196888090963495
3.767,0.19458455003982
3.77425,0.192289858912367
3.7815,0.190003966679889
3.78875,0.187726822830749
3.796,0.185458377239199
3.80325,0.183198580161704
3.8105,0.180947382233303
3.81775,0.178704734464017
3.825,0.176470588235294
3.83225,0.174244895296497
3.8395,0.172027607761427
3.84675,0.169818678104894
3.854,0.167618059159315
3.86125,0.165425704111363
3.8685,0.163241566498643
3.87575,0.161065600206412
3.883,0.158897759464332
3.89025,0.156737998843262
3.8975,0.154586273252085
3.90475,0.152442537934567
3.912,0.150306748466258
3.91925,0.148178860751419
3.9265,0.146058831019992
